Gene names;WT1 SN F;WT2 SN F;WT3 SN F;HET1 SN F;HET2 SN F;HET3 SN F;MUT1 SN F;MUT2 SN F;MUT3 SN F;WT1 SN M;WT2 SN M;WT3 SN M;HET1 SN M;HET2 SN M;HET3 SN M;MUT1 SN M;MUT2 SN M;MUT3 SN M; T-test Difference HET SN F vs WT SN F;-Log  T-test p-value HET SN F vs WT SN F; T-test q-value HET SN F vs WT SN F; T-test Difference MUT SN F vs WT SN F;-Log  T-test p-value MUT SN F vs WT SN F; T-test q-value MUT SN F vs WT SN F; T-test Difference HET SN M vs WT SN M;-Log  T-test p-value HET SN M vs WT SN M; T-test q-value HET SN M vs WT SN M; T-test Difference MUT SN M vs WT SN M;-Log  T-test p-value MUT SN M vs WT SN M; T-test q-value MUT SN M vs WT SN M; T-test significant;Peptides;Razor + unique peptides;Unique peptides;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Q-value;Score;Intensity;MS/MS count;iBAQ;Protein IDs;Majority protein IDs;Protein names
Phactr1;-0,104278564;-0,301067352;0,051175594;-0,198285103;-0,035158157;-0,30477953;-0,109110355;0,139818668;-0,018937588;-0,214607239;-0,080222607;0,075959682;-0,463126183;-0,05500412;-0,241373539;-0,091302872;-0,376517296;-0,277859688;-0,061350822;0,181659708;0,95984753;0,121980349;0,414344682;0,718802548;-0,180211226;0,550973618;0,782146425;-0,175603231;0,672631954;0,976816976;;5;5;5;16;16;16;66,285;0;17,984;336480000;7;13459000;"Q2M3X8;B1B1B8;A0A5F8MPG5;A0A5F8MPI2;A0A668KL56";"Q2M3X8;B1B1B8";"Phosphatase and actin regulator 1;Phosphatase and actin regulator"
Hmox2;2,055942535;2,081036568;1,784249783;1,847859383;1,752682686;2,114535809;1,931319714;1,824130535;2,026067257;1,847699165;1,85035181;2,029331684;1,651263237;1,962839127;2,030009747;1,697446823;1,861450195;1,892731667;-0,068717003;0,181585348;0,960587346;-0,04657046;0,156375762;0,887219192;-0,02775685;0,074250479;0,959882897;-0,091917992;0,465987517;0,961283826;;7;7;7;34,9;34,9;34,9;35,738;0;21,963;872390000;11;48466000;"O70252;D3YX62;D3YXN4;D3Z4A2";"O70252;D3YX62";Heme oxygenase 2
Slc12a2;2,971600533;2,918214798;2,654526234;3,021467209;2,799347878;2,891222477;2,732807636;2,064128399;2,256458759;2,334719658;2,757192135;2,273886204;2,748822212;2,966513634;3,03438139;2,984759331;2,52329731;2,686731339;0,055898666;0,181413864;0,961813313;-0,496982257;1,053739956;0,34899435;0,461306413;1,240039946;0,684246154;0,276329994;0,609529986;0,971686957;;19;19;19;22,1;22,1;22,1;130,67;0;88,172;3245700000;23;63642000;"E9QM38;P55012";"E9QM38;P55012";Solute carrier family 12 member 2
Ndufa6;1,978745461;1,912431717;1,664397717;1,748250008;1,692465782;1,941036701;1,934154987;2,062009335;1,982444286;2,068396568;1,819180012;1,93585062;1,772117615;1,928776741;1,902944088;1,86160183;1,897591591;1,919068336;-0,057940801;0,181139142;0,960518262;0,141011238;0,616960207;0,622056798;-0,073196252;0,350132965;0,882233886;-0,048388481;0,260871739;0,97711451;;5;5;5;45,8;45,8;45,8;15,283;0;25,316;7322200000;13;915270000;"Q9CQZ5;A0A2R8W6V1;A0A2R8VI90";Q9CQZ5;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
Ogdhl;3,59256649;3,603949547;3,416704655;3,577760696;3,443924904;3,741909504;3,749156475;3,543399334;3,707576275;3,638224602;3,579153538;3,650448322;3,361772537;3,529673576;3,568871975;3,415635109;3,568803787;3,60986805;0,050124804;0,181090023;0,962087542;0,128970464;0,670428011;0,626611708;-0,135836124;0,945358491;0,759505528;-0,091173172;0,654034612;0,973018342;;31;25;25;45,4;38,9;38,9;114,56;0;167,33;8878500000;48;188900000;"B2RXT3;E9Q7L0";"B2RXT3;E9Q7L0";
Kif21a;2,777715683;2,682613373;2,631700039;2,709396362;2,625958443;2,686070919;2,736912251;2,679088116;2,759664059;2,700948715;2,726063251;2,842089176;2,580715179;2,732349396;2,617926121;2,631138802;2,625039101;2,698698997;-0,023534457;0,181001111;0,971797568;0,027878443;0,221709284;0,903691916;-0,112703482;0,829085478;0,80242937;-0,104741414;0,992996693;0,968736196;;26;26;22;26,3;26,3;22,4;186,53;0;112,13;2966400000;29;44945000;"Q9QXL2;F8WGN6;E9Q0J5;A0A2R8VKM5;A0A2R8VJN0;B7ZNG0;Q7M6Z4;E9QMU1;J3QNW9";"Q9QXL2;F8WGN6;E9Q0J5";"Kinesin-like protein KIF21A;Kinesin-like protein"
Gigyf2;-3,600158691;-3,251364708;-3,486544132;-3,201304436;-2,831809044;-5,504438877;-3,753756046;-4,03976965;-3,790626049;-3,35841465;-2,471028805;-2,99835825;-3,814447403;-3,908903122;-3,284221172;-3,369767189;-3,100536346;-3,038604736;-0,399828275;0,180583752;0,92826321;-0,415361404;1,417415051;0,354207547;-0,726589998;1,05774369;0,67840678;-0,227035522;0,338694931;0,972360999;;1;1;1;1;1;1;149,19;0;2,8241;13367000;1;257060;"Q6Y7W8;G3UWR2;G3UYG6";"Q6Y7W8;G3UWR2;G3UYG6";PERQ amino acid-rich with GYF domain-containing protein 2
Stmn1;2,173685074;2,179495811;1,852695942;2,084260941;2,067214012;1,872866154;2,127089977;2,130400181;2,094725132;2,080672264;2,056025982;1,784089565;2,014316559;1,632919312;2,011250973;2,1563797;1,870400429;2,275898933;-0,060511907;0,180573626;0,959547813;0,048779488;0,169727784;0,884226163;-0,087433656;0,214558155;0,895057636;0,127297084;0,343890454;0,962585678;;4;4;3;24,2;24,2;18,1;17,274;0;30,068;3812700000;10;423630000;"P54227;D3Z1Z8;D3Z5N2";"P54227;D3Z1Z8;D3Z5N2";Stathmin
Cep170b;0,033581734;-0,236941338;-0,01677084;0,010770798;-0,089379311;-0,015884876;-0,037468433;-0,001599789;-0,067985058;-0,128475189;-0,401827335;0,092381001;-0,174838066;-0,161045074;-0,196317196;-0,08855629;-0,173464775;-0,071696281;0,041879018;0,180442421;0,965827286;0,037692388;0,16669726;0,894075606;-0,031426271;0,077196069;0,957438006;0,034734726;0,084037393;0,993981481;;7;6;6;6,2;5,3;5,3;170,82;0;13,289;273410000;7;2878000;"Q80U49;B9EIX2";"Q80U49;B9EIX2";Centrosomal protein of 170 kDa protein B
Mobp;2,28758049;2,518902779;1,701172352;2,65013504;2,452337265;1,881862164;1,749922276;0,814862728;1,089053631;1,628386497;2,100700855;1,605042934;1,938246727;2,370782852;2,236441135;1,939825058;1,888757706;2,230015755;0,158892949;0,180405522;0,953340055;-0,951272329;1,211070406;0,308760331;0,403780142;0,915590595;0,699485531;0,24148941;0,553348663;0,970891034;;4;4;4;28,8;28,8;28,8;19,197;0;20,212;4276300000;10;855270000;Q9D2P8;Q9D2P8;Myelin-associated oligodendrocyte basic protein
;0,072971344;-0,435230255;-0,44004488;-0,412600517;-0,148375511;0,07178545;-0,200067043;-0,295792103;-0,332070827;-0,357899666;-0,254355907;-0,252625942;-0,369824409;-0,680630684;-0,143700123;-0,18270874;-0,054618835;0,01060009;0,104371071;0,180120047;0,957347639;-0,008542061;0,016217143;0,9883599;-0,1097579;0,276415407;0,874153101;0,21271801;1,480329531;1;;2;2;2;0,6;0,6;0,6;516,94;0,0087065;1,1423;314910000;2;1351500;"A0A140LIJ4;A0A571BGC3";"A0A140LIJ4;A0A571BGC3";
Fmn2;0,386699677;0,345974922;0,510062695;0,527394295;0,210080147;0,732067585;0,642686367;0,400867939;0,516759396;0,547118187;0,809200764;0,262542248;0,394174576;0,100358963;0,647450924;0,57101059;0,640817642;0,566015244;0,075601578;0,180104921;0,962004854;0,105858803;0,547682672;0,700387557;-0,158958912;0,287321535;0,848730038;0,052994092;0,12110274;0,987582024;;7;7;7;7,2;7,2;7,2;167,38;0;20,464;436080000;14;7650600;"Q9JL04;A0A0A6YY57";Q9JL04;Formin-2
Cdk5;-0,604057312;-0,714837074;-1,254409313;-0,912029266;-0,913824081;-1,038930416;-0,881596088;-1,216060162;-0,744844913;-0,823062897;-0,92349577;-0,658470631;-0,707958221;-0,823835373;-0,696378231;-0,903721809;-0,66818428;-0,727245331;-0,097160021;0,180068407;0,954972973;-0,089732488;0,135161512;0,870215808;0,05895249;0,270370647;0,900029067;0,035292625;0,12313405;0,9941841;;5;5;5;25,3;25,3;25,3;33,288;0;11,657;495570000;6;26083000;"P49615;A0A0G2JDL3";"P49615;A0A0G2JDL3";Cyclin-dependent-like kinase 5
Mpv17;-3,415399551;-2,67891407;-3,336327076;-3,127655983;-3,35244751;-3,295543194;-3,725363255;-5,387494564;-2,965754986;-2,94203186;-3,845922947;-3,224869251;NaN;-3,738794327;-4,076169491;-3,232469559;-3,199010849;NaN;-0,115001996;0,180003113;0,958634018;-0,882657369;0,514643938;0,45;-0,569873889;0,661255047;0,684605544;0,121867816;0,126578839;0,980694874;;2;2;2;21;21;21;18,049;0;13,717;43293000;2;7215500;"D3YWI4;E9Q1I6;F8WHT5;G3UVW1;P19258;A0A0J9YVC7";"D3YWI4;E9Q1I6;F8WHT5;G3UVW1;P19258;A0A0J9YVC7";Protein Mpv17
Vps26a;-0,272955894;-0,019856453;-0,166466236;0,005076408;-0,209886551;-0,478828907;0,006912708;-0,252017498;-0,04078722;-0,020439148;0,01082468;-0,117202282;0,133062363;-0,271994591;-0,092819691;-0,067168236;-0,000959396;-0,099475861;-0,074786822;0,179973032;0,961596449;0,057795525;0,206473619;0,859931516;-0,03497839;0,10191584;0,952254769;-0,013595581;0,101277033;0,992255736;;3;2;2;9,8;7,6;7,6;38,113;0;4,7842;259370000;3;13651000;"P40336;A0A1W2P7R7;A0A1W2P7Z9";P40336;Vacuolar protein sorting-associated protein 26A
Ttyh1;-0,397624969;-0,73576355;-0,327289104;-0,614714622;-0,718298912;-0,361127377;-0,639144421;-1,272044659;-0,222280979;-0,64669323;-0,558567524;-0,334413052;-0,402144432;-0,560720444;-0,297430515;-0,8816185;-0,554467201;-1,105186462;-0,077821096;0,179571972;0,963175275;-0,224264145;0,272227822;0,729149929;0,093126138;0,316559081;0,873038685;-0,333866119;0,837464981;0,977876221;;5;5;5;17,8;17,8;17,8;49,032;0;17,493;1425400000;9;101810000;"Q9D3A9;A0A0U1RPU8;A0A0U1RPY1;D6RG66";"Q9D3A9;A0A0U1RPU8";Protein tweety homolog 1
Calb2;2,659770012;2,423321724;2,182290554;2,415915489;2,386444092;2,256062031;2,41699934;2,526679516;2,662185192;2,349471092;2,421874523;2,294305325;2,444815636;2,394675255;2,435312748;2,469779968;2,568642616;2,659331322;-0,068986893;0,179220446;0,960546249;0,113493919;0,297010229;0,776386649;0,069717566;0,805807232;0,84283871;0,210700989;1,478991471;1;;14;14;14;50,2;50,2;50,2;31,372;0;34,821;3486500000;24;193700000;"Q08331;Q8CCS7";"Q08331;Q8CCS7";Calretinin
Dpysl4;3,054879189;3,040052414;2,981052876;3,029541016;3,010906219;3,078231335;3,127273083;3,043721676;3,056924343;3,08005619;3,003694057;2,957331181;2,891819954;3,014594078;3,083009243;2,964682579;3,151813507;3,103764534;0,014231364;0,179218995;0,982333333;0,050644875;0,668490775;0,81474027;-0,017219385;0,092498376;0,961228916;0,059726397;0,376559631;0,967226298;;23;21;21;64;60;60;61,961;0;126,4;5415000000;28;180500000;"O35098;Q3TMU8;A0A0R4J1N0;D3Z360";"O35098;Q3TMU8;A0A0R4J1N0";Dihydropyrimidinase-related protein 4
Ado;-0,727679253;-0,41740799;-1,159889698;-0,854157448;-0,909452438;-0,846109867;-0,632362843;-0,631364346;-0,882326603;-0,650163651;-0,541938305;-1,152554035;-0,816749573;-0,751085281;-0,718792439;-0,702478409;-0,695489883;-0,358192444;-0,101580938;0,178514522;0,955271338;0,052974383;0,081023906;0,919207958;0,019342899;0,034359159;0,980061628;0,196165085;0,374168472;0,96819802;;3;3;3;15,2;15,2;15,2;28,372;0;8,9222;204810000;3;13654000;Q6PDY2;Q6PDY2;2-aminoethanethiol dioxygenase
Cpt1c;-0,666805267;-0,774183273;-0,780792713;-0,758416176;-0,766302109;-0,607644558;-1,005786419;-0,980988979;-0,456617832;-0,808145523;-0,668868542;-0,573481083;-0,626121521;-0,442591667;-0,251199245;-0,638811111;-0,740725517;-0,636767387;0,029806137;0,178397703;0,968008169;-0,073870659;0,150663933;0,870172806;0,243527571;0,88729621;0,715427562;0,011397044;0,051355153;0,99098327;;6;6;6;12,4;12,4;12,4;90,029;0;19,18;245510000;6;7919500;"Q8BGD5;A0A1D5RLH1";Q8BGD5;Carnitine O-palmitoyltransferase 1, brain isoform
Bcas1;2,79566288;2,883687019;2,46078825;2,869093895;2,577122688;2,440364361;2,357271671;1,664147854;1,848131657;2,330733299;2,54862833;2,045299053;2,366045952;2,835795403;2,805476665;2,918688774;2,253047943;2,593954086;-0,084519068;0,177835317;0,960487243;-0,756862322;1,441483447;0,281885057;0,360885779;0,79188727;0,682165605;0,280343374;0,509046503;0,969004115;;9;9;9;18,8;18,8;18,8;67,377;0;31,217;7514100000;21;221000000;"Q80YN3;F7BNZ5;A2AVX1;E9Q8Q5";"Q80YN3;F7BNZ5;A2AVX1;E9Q8Q5";Breast carcinoma-amplified sequence 1 homolog
Pex3;-3,949709892;-3,137804985;-3,487188816;-6,451500416;-3,153939247;-2,670128345;-3,822733402;-2,827980518;-3,517501354;-4,350248337;-3,034067631;-3,325345516;-3,326274872;-3,02792263;-3,090393543;-4,261896133;-3,755513191;-3,096464157;-0,566954772;0,177792143;0,926256307;0,13549614;0,132404055;0,857157561;0,421690146;0,442313708;0,753718427;-0,134737333;0,091902544;0,988907324;;2;2;2;4,6;4,6;4,6;42,223;0;2,9132;2703700;2;159040;"Q9QXY9;E9QA46;D3Z6X3;D3Z6X4";"Q9QXY9;E9QA46;D3Z6X3;D3Z6X4";Peroxisomal biogenesis factor 3
Gnb4;-0,865847588;-0,757362366;-0,792543888;-0,501344681;-1,041696548;-0,641092777;-0,80389452;-1,318647861;-0,924999714;-0,993995667;-1,018111706;-1,237805843;-0,929654121;-0,918883324;-0,481417179;-0,624899864;-0,971291542;-0,766717911;0,077206612;0,177635181;0,962170781;-0,210596085;0,593415931;0,555306705;0,306652864;0,85443015;0,685393814;0,295667966;1,094792515;1;;11;5;5;48,8;25,6;25,6;37,379;0;16,59;478650000;6;34189000;P29387;P29387;Guanine nucleotide-binding protein subunit beta-4
Gss;-2,320666313;-2,046244621;-2,731553555;-1,869145393;-2,251966476;-2,576809406;-2,596747875;-2,253922939;-2,292877674;-2,729009628;-2,112278461;-3,246255398;-2,403739929;-1,684800148;-2,129518032;-2,227937698;-2,313108444;-2,116055489;0,133514404;0,177623253;0,956613879;-0,015028;0,022125409;0,978461452;0,623161793;0,734203591;0,687774011;0,476813952;0,647626728;0,972541436;;2;2;2;5,3;5,3;5,3;52,246;0;5,4233;133050000;2;5321900;"P51855;Q3UEE2;A2AQN9;A2AQN7";"P51855;Q3UEE2;A2AQN9;A2AQN7";Glutathione synthetase
Gm15800;0,26587677;0,140875816;0,144239902;0,183426857;0,14127636;0,322163105;0,348031521;0,195287228;0,437166691;0,114945412;0,291941166;0,629760265;0,281074524;0,197285652;0,470127583;0,323655128;0,117868423;0,137058258;0,031957944;0,177446809;0,967226162;0,143164317;0,810555545;0,570672176;-0,029386361;0,059452983;0,960737193;-0,152688344;0,391202518;0,975286371;;9;9;9;3,1;3,1;3,1;484,12;0;13,185;257540000;9;1287700;"E9Q2E4;A0A0J9YUS1;Q6GQX8";E9Q2E4;
Ccdc109b;-2,124833107;-1,890774727;-2,095237255;-1,864847183;-2,481697083;-1,258901119;-1,813062191;-1,915314198;-1,788574696;-1,314994812;-2,22168684;-1,843986034;-1,504994392;-1,989798546;-2,248092175;-2,300786018;-2,413407326;-2,039327621;0,168466568;0,177395203;0,952948189;0,197964668;1,119038133;0,440173333;-0,120739142;0,12990044;0,91643379;-0,45761776;0,735102165;0,984412371;;1;1;1;8,1;8,1;8,1;17,049;0,0038226;1,4245;29787000;1;5957400;"F6SD17;Q810S1";"F6SD17;Q810S1";Calcium uniporter regulatory subunit MCUb, mitochondrial
Hacd3;1,176513672;0,983468056;1,0886693;1,04005909;1,148077011;0,947906971;0,991055965;0,963533878;0,953480244;1,064091682;0,907910824;1,251585484;1,051651955;1,192405701;0,956105709;0,834316254;1,064566612;0,999494553;-0,037535985;0,177315159;0,966228673;-0,11352698;0,932352168;0,607025802;-0,007808208;0,021571669;0,991562307;-0,108403524;0,376894702;0,966116177;;7;7;7;25,4;25,4;25,4;43,131;0;30,129;1113700000;8;74248000;Q8K2C9;Q8K2C9;Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3
Itch;-1,275154114;-1,250932693;-1,608609676;-1,451731682;-1,399906158;-1,040289402;-1,434535503;-1,345273495;-1,617944241;-1,437617302;-1,654489994;-1,387818813;-1,031161308;-1,451199532;-1,333799839;-1,072552681;-1,783753395;-1,49750042;0,08092308;0,177210375;0,963885527;-0,087685585;0,246744861;0,819951657;0,221255143;0,671535176;0,750408551;0,042039871;0,065921583;0,992149399;;2;2;2;3;3;3;98,992;0;5,5262;66022000;2;1435300;Q8C863;Q8C863;E3 ubiquitin-protein ligase Itchy
Timm8a1;0,760751724;0,913062096;0,555470943;0,850956917;0,607354164;0,982266903;0,85612154;0,743685246;0,998791218;1,053541183;0,793817043;0,665032864;0,7604599;0,804182053;0,955002308;0,966362953;0,905962944;0,965003014;0,070431074;0,177078487;0,960677266;0,123104413;0,411186617;0,718601961;0,002417723;0,006168848;0,998721887;0,108312607;0,394455534;0,959829517;;4;4;4;68;68;68;11,042;0;21,071;1946900000;7;389380000;Q9WVA2;Q9WVA2;Mitochondrial import inner membrane translocase subunit Tim8 A
Klhl22;-0,822761536;-0,916841507;-0,560780048;-0,729577065;-0,870696068;-0,86181879;-0,940378666;-1,057609081;-1,092951298;-0,677620888;-0,919462681;-0,529598713;-0,345295906;-0,457386971;-0,65019083;-0,701054573;-0,622296333;-0,896430016;-0,053902944;0,176502501;0,958821227;-0,263518651;1,066964494;0,39699854;0,224602858;0,710605808;0,742629299;-0,03103288;0,078193883;0,991930029;;5;5;5;8,4;8,4;8,4;71,686;0;8,2714;117540000;7;3561700;"Q99JN2;D3YZH5;D3Z2R6;D3Z7N9";Q99JN2;Kelch-like protein 22
wrz.06;4,269499779;4,186226845;3,933855534;4,165416718;4,123988152;4,250147343;4,291579723;4,184104443;4,291478634;4,213929176;4,15101862;4,15917635;4,04764843;4,099617958;4,126660824;4,089831352;4,164239883;4,151991844;0,049990018;0,176420112;0,961667287;0,125860214;0,515701244;0,682701887;-0,083398978;1,284007474;0,806885246;-0,039353689;0,577738984;0,972219742;;20;20;12;51,2;51,2;37,1;49,619;0;226,1;18686000000;44;889820000;"Q9R1T4;A2A3W1";Q9R1T4;Septin-6
Elmo1;-2,957450867;-3,241259575;-2,714960575;-4,714933395;-2,488466263;-2,718449116;-3,128333569;-4,692037106;-2,882572651;-3,26153183;-2,70450449;-2,354729176;-4,095960617;-3,166846275;-3,04805994;-3,421048164;-2,406472206;-3,120904922;-0,336059252;0,176334819;0,933153136;-0,596424103;0,435511759;0,527577967;-0,663367112;0,715725578;0,685783934;-0,209219933;0,201452322;0,963025586;;4;2;2;5,1;2,6;2,6;83,935;0;3,029;219940000;2;5639600;Q8BPU7;Q8BPU7;Engulfment and cell motility protein 1
Pdcd6ip;2,407845497;2,309105873;2,027089596;2,121031761;2,200395584;2,254759312;2,217307568;2,156840801;2,339067936;2,268229485;2,345106602;2,234318256;2,178424835;2,300843239;2,395139217;2,2531147;2,338280678;2,227952957;-0,055951436;0,176149441;0,963271896;-0,010274887;0,027360525;0,978683105;0,00891765;0,042958942;0,987442341;-0,009435336;0,070580862;0,99013779;;20;20;20;31,4;31,4;31,4;96,023;0;82,91;2394400000;24;52051000;Q9WU78;Q9WU78;Programmed cell death 6-interacting protein
Cyp46a1;0,124822617;-0,024396896;-0,43052721;0,057406425;-0,07838726;-0,711205006;-0,29688406;-0,450949192;-0,043245792;-0,268863678;-0,147593975;0,032708645;0,028551102;-0,167265892;-0,093504429;-0,038324356;-0,396258354;-0,422227859;-0,134028117;0,175794305;0,954449558;-0,153659185;0,306765169;0,737487896;0,05050993;0,184198068;0,926123855;-0,157687187;0,446915756;0,963349153;;7;7;7;18,4;18,4;18,4;56,813;0;19,22;551130000;8;19004000;"Q9WVK8;A0A1Y7VM34";Q9WVK8;Cholesterol 24-hydroxylase
Nras;-0,111392021;-0,003026962;-0,390887737;-0,103601456;-0,272220612;-0,313210011;-0,419648647;-0,094713688;-0,020455837;-0,123746872;-0,263130665;-0,003887653;-0,007301331;-0,145169258;-0,046085835;-0,230237007;-0,106751442;-0,619847298;-0,061241786;0,175774975;0,960522008;-0,009837151;0,01943664;0,984797101;0,064069589;0,305466704;0,897020949;-0,188690186;0,476574442;0,962213786;;9;2;1;61,9;14,3;7,9;21,199;0;4,4723;783900000;3;78390000;"P08556;A0A0G2JGP4;Q9D091;A0A0G2JE25;A0A0G2JGM2;B2KGV5;E9Q8V2;E9PVD5;A0A0N4SVY1";"P08556;A0A0G2JGP4;Q9D091;A0A0G2JE25";GTPase NRas
Sbf1;2,971808434;2,869481087;2,855375767;2,971055031;2,847257614;2,952284336;2,868589878;2,908742428;2,850518703;2,808397293;2,935155392;2,950865269;2,847322464;2,928709984;2,920371532;2,944577217;2,884683609;2,78146553;0,024643898;0,175709193;0,969971627;-0,022938093;0,220700232;0,916930551;0,000662009;0,004167842;0,999350381;-0,027897199;0,159566518;0,992038714;;33;33;33;25,3;25,3;25,3;208,69;0;114,03;3154600000;44;36260000;"Q6ZPE2;D6RG52;H3BKD9;F6S251;F7AWK3";Q6ZPE2;Myotubularin-related protein 5
Vdac2;4,948792458;4,995530128;4,671316624;4,838453293;4,872693062;5,079864979;5,119586468;5,132028103;5,126779079;5,106816292;5,002340794;4,957985401;4,819020271;4,893971443;4,972547054;4,809197426;5,022180557;5,124783516;0,058457375;0,175687407;0,96136092;0,25425148;1,180607973;0,378935433;-0,127201239;0,951944653;0,770506161;-0,036993663;0,132331925;0,993293201;;14;14;2;65,4;65,4;7,8;31,732;0;201,17;51923000000;91;3245200000;"Q60930;A0A286YCR8;D3YZT5;D3YUN8";"Q60930;A0A286YCR8;D3YZT5";Voltage-dependent anion-selective channel protein 2
Mkl2;-2,298496246;-3,575279236;-2,350183964;-2,652330399;-2,56554985;-2,418960094;-2,611636639;-2,405183315;-1,990354061;-2,114404678;-2,918910503;-2,086452007;-2,550733566;-1,959638596;-2,03892374;-2,350170135;-2,235417366;-2,06567955;0,195706367;0,175556792;0,9512;0,405595144;0,373111657;0,600924051;0,190157096;0,225347389;0,86473616;0,156166712;0,212479414;0,957340933;;1;1;1;2,4;2,4;2,4;117,55;0;2,548;87168000;1;2641400;"P59759;Q5DTZ3;G3X8R8";"P59759;Q5DTZ3;G3X8R8";MKL/myocardin-like protein 2
Arpc1b;-1,450481415;-1,075079918;-1,515739918;-1,576388359;-1,241833687;-1,456833363;-1,852309704;-1,912070751;-1,573343754;-2,206209183;-1,61041975;-1,988233089;-1,376872063;-1,305570602;-1,118525028;-1,168936729;-1,687710762;-1,7409935;-0,077918053;0,175199401;0,961756964;-0,432140986;1,177964251;0,349892744;0,667964776;1,60763019;0,797777778;0,40240701;0,731085544;0,951161677;;2;1;1;11;4,8;4,8;41,063;0;4,8945;79283000;1;4404600;"Q9WV32;Q91Z25;F6THG2";"Q9WV32;Q91Z25;F6THG2";Actin-related protein 2/3 complex subunit 1B
Aldh18a1;-0,337665558;-0,000647545;-0,382279873;-0,34595108;-0,227828026;0,103330135;0,105944157;-0,56862402;-0,191349506;-0,228194237;-0,630759716;-0,011008739;-0,372516632;-0,304962158;-0,090767384;-0,495141983;-0,410139084;-0,246437073;0,083381335;0,175100294;0,963814906;0,022187869;0,032643905;0,966418021;0,033905506;0,058547282;0,961361832;-0,093918482;0,182888144;0,972971631;;4;4;4;6,8;6,8;6,8;87,265;0;7,71;185560000;4;3948100;Q9Z110;Q9Z110;"Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase"
Ehd3;3,018446922;3,00894165;2,861490726;3,019556999;2,878190041;3,107288837;3,142884731;3,017323017;3,15407896;2,991904259;2,953393459;3,077951908;2,933506966;2,950133324;3,011743069;3,05256176;2,950583458;2,91985321;0,038718859;0,175000137;0,966564723;0,14180247;0,990822433;0,537336343;-0,042622089;0,41341814;0,909891913;-0,033417066;0,242183464;0,988537916;;20;20;11;55,5;55,5;35;60,82;0;85,173;4281000000;33;152890000;Q9QXY6;Q9QXY6;EH domain-containing protein 3
Mthfd1;2,278762817;2,195240974;2,07881403;2,063047409;2,071984291;2,288102627;2,157952785;2,081899166;2,275301456;2,198525429;2,319463253;2,076426029;2,120401382;2,239469528;2,347072124;2,247215271;2,227337837;2,257352829;-0,043227832;0,174937181;0,96587064;-0,012554804;0,053535809;0,964924921;0,037509441;0,145210141;0,942841463;0,045830409;0,257886787;0,981199185;;17;17;17;29,4;29,4;29,4;101,2;0;61,353;1716200000;21;34324000;"Q922D8;A0A1W2P733;A0A1W2P7L5";"Q922D8;A0A1W2P733";"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed"
Dctn2;2,915688515;2,882076263;2,728882313;3,043974876;2,810190201;2,807103634;2,849833965;2,839023113;2,867566586;2,872439384;2,864282131;2,821423054;2,787096024;2,847423553;2,843282223;2,988282204;2,813857079;2,933354378;0,044873873;0,17490107;0,966339678;0,009925524;0,059171955;0,968797501;-0,026780923;0,461283444;0,935584906;0,059116364;0,476174368;0,961713716;;17;17;17;64,2;64,2;64,2;44,116;0;156,4;9781400000;36;489070000;Q99KJ8;Q99KJ8;Dynactin subunit 2
Chchd3;2,772906303;2,749182701;2,587757587;2,66138649;2,566127777;2,768333912;2,853104115;2,978372097;2,991666317;2,986607552;2,916423321;2,786570072;2,778543472;2,710391998;2,813413143;2,818511009;2,851061821;2,951142311;-0,037999471;0,174735766;0,966264873;0,237765312;1,505973563;0,358184676;-0,12908411;0,913964056;0,772523048;-0,022961934;0,117901865;0,99412766;;9;9;9;36,1;36,1;36,1;26,334;0;67,469;5575700000;21;464640000;"Q9CRB9;S4R238;Q9D9P1;D3Z0L4;F6QFL0";"Q9CRB9;S4R238;Q9D9P1;D3Z0L4";MICOS complex subunit Mic19
Eml1;-3,266994476;-3,444306374;-3,132385731;-2,89099884;-4,176649094;-3,313871861;-3,815720081;-4,073081493;-3,811839581;-4,627511024;-3,673483372;-4,240349293;-3,774478912;-2,997776985;-3,508523464;-3,490779877;-3,190716743;-3,245827675;-0,179277738;0,174709466;0,953416628;-0,618984858;2,110377887;0,292;0,753521442;0,984698845;0,707211679;0,871339798;1,3918415;1;;4;4;4;5;5;5;89,679;0;6,0779;105250000;4;2631200;"Q05BC3;D6RII3;D3Z4J9";"Q05BC3;D6RII3;D3Z4J9";Echinoderm microtubule-associated protein-like 1
Ndufs3;2,890592575;2,921041489;2,77578783;2,705978394;2,739192963;2,999970913;2,966863155;2,89944315;2,964257717;2,996232033;2,913076878;2,875889301;2,694842339;2,867010117;2,892587185;2,73526001;2,711194992;2,883318901;-0,047426542;0,174613158;0,965381603;0,081047376;0,753641606;0,71837684;-0,110252857;0,702797454;0,806442529;-0,151808103;1,106589935;0,987455535;;11;11;11;41,4;41,4;41,4;30,149;0;47,158;9555400000;28;597210000;Q9DCT2;Q9DCT2;NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial
